33,1,1,1,2,1
23,0,2,1,2,1
23,1,0,1,1,0
24,1,2,1,2,1
25,0,1,1,0,0
26,1,2,1,1,1
26,1,2,1,2,1
27,1,1,1,2,1
28,0,1,0,1,0
28,1,1,1,2,1
33,1,1,1,2,1
23,0,2,1,2,1
23,1,0,1,1,0
24,1,2,1,2,1
25,0,1,1,0,0
26,1,2,1,1,1
26,1,2,1,2,1
27,1,1,1,2,1
28,0,1,0,1,0
28,1,1,1,2,1
33,1,1,1,2,1
23,0,2,1,2,1
23,1,0,1,1,0
24,1,2,1,2,1
25,0,1,1,0,0
26,1,2,1,1,1
26,1,2,1,2,1
27,1,1,1,2,1
28,0,1,0,1,0
28,1,1,1,2,1
33,1,1,1,2,1
23,0,2,1,2,1
23,1,0,1,1,0
24,1,2,1,2,1
25,0,1,1,0,0
26,1,2,1,1,1
26,1,2,1,2,1
27,1,1,1,2,1
28,0,1,0,1,0
28,1,1,1,2,1
33,1,1,1,2,1
23,0,2,1,2,1
23,1,0,1,1,0
24,1,2,1,2,1
25,0,1,1,0,0
26,1,2,1,1,1
26,1,2,1,2,1
27,1,1,1,2,1
28,0,1,0,1,0
28,1,1,1,2,1
33,1,1,1,2,1
23,0,2,1,2,1
23,1,0,1,1,0
24,1,2,1,2,1
25,0,1,1,0,0
26,1,2,1,1,1
26,1,2,1,2,1
27,1,1,1,2,1
28,0,1,0,1,0
28,1,1,1,2,1
33,1,1,1,2,1
23,0,2,1,2,1
23,1,0,1,1,0
24,1,2,1,2,1
25,0,1,1,0,0
26,1,2,1,1,1
26,1,2,1,2,1
27,1,1,1,2,1
28,0,1,0,1,0
28,1,1,1,2,1
33,1,1,1,2,1
23,0,2,1,2,1
23,1,0,1,1,0
24,1,2,1,2,1
25,0,1,1,0,0
26,1,2,1,1,1
26,1,2,1,2,1
27,1,1,1,2,1
28,0,1,0,1,0
28,1,1,1,2,1
33,1,1,1,2,1
23,0,2,1,2,1
23,1,0,1,1,0
24,1,2,1,2,1
25,0,1,1,0,0
26,1,2,1,1,1
26,1,2,1,2,1
27,1,1,1,2,1
28,0,1,0,1,0
28,1,1,1,2,1
33,1,1,1,2,1
28,1,1,1,1,1
20,0,1,1,0,0
26,0,1,1,2,1
25,1,1,1,1,0
21,0,2,1,0,1
24,1,0,1,1,1
22,1,1,0,1,0
21,1,1,0,1,1
25,1,1,1,1,0
24,0,1,1,0,1
28,1,1,1,1,1
21,0,1,1,1,0
27,1,0,1,2,1
22,0,0,0,1,0
24,0,2,0,0,1
28,0,2,0,1,1
24,1,2,1,1,0
28,1,0,0,2,0
29,0,2,0,1,1
25,1,1,0,1,1
20,0,0,0,2,1
25,0,1,1,0,1
21,1,2,1,0,0
21,0,1,0,2,1
23,1,2,0,1,1
28,1,1,1,0,0
30,1,1,0,1,0
22,1,1,1,2,0
21,0,1,0,0,0
26,0,0,0,1,1
20,1,1,0,1,0
22,1,1,0,1,0
23,1,1,0,2,1
26,0,0,0,0,0
26,0,1,1,0,0
23,0,2,0,1,0
20,1,1,0,1,1
21,0,0,1,1,0
21,1,1,0,1,1
28,0,0,1,1,1
29,1,1,0,1,1
24,1,0,1,2,1
25,1,2,1,0,1
23,1,2,1,2,0
25,1,2,1,1,0
26,1,0,1,2,0
23,1,1,1,2,1
27,1,1,1,2,1
28,1,1,1,1,0
29,1,1,1,2,1
33,1,1,1,1,1
24,1,1,1,0,1
23,1,2,1,2,0
25,1,2,1,1,0
26,1,0,1,2,0
23,1,1,1,2,1
27,1,1,1,2,1
28,1,1,1,1,0
29,1,1,1,2,1
33,1,1,1,1,1
24,1,1,1,0,1
